"seller_id","active_days","avg_revenue_per_day"
"06532f10282704ef4c69168b914b77be","8","1277.56"
"52f976b17ea7f2f087f56dcc419328f6","6","1271.67"
"2528744c5ef5d955adc318720a94d2e7","5","1249.00"
"1d0997ff06b524ce9289ffd75114ecd3","3","1249.00"
"ba90964cff9b9e0e6f32b23b82465f7b","36","1228.13"
"0873d9f8f36123f8d910f4760e788cfb","6","1210.93"
"76833248bbc0e65a0293ec62023e4396","2","1199.99"
"f0563bacf40c311f1c4d3d6b67b8a7a7","1","1199.00"
"244b04680fdbded0acf5aebd9c92b44a","3","1159.23"
"ed46f1eb4a638113deb2a1137b5f22e9","3","1156.67"
"ff69aa92bb6b1bf9b8b7a51c2ed9cf8b","19","1154.78"
"c394e193cda3b4225ff2094d32184849","3","1139.96"
"e882b2a25a10b9c057cc49695f222c19","45","1134.61"
"87b740daf17b5d1be335a64164ec6842","13","1130.76"
"180c3376aff0e43dd5788709df48a843","4","1128.25"
"6c6cc59a5c00cacc5054ca06d65cc282","1","1107.00"
"48328ec9a579151d9cc6a86d4a59336c","1","1099.00"
"c88f62b4c386a59281014d677864d016","1","1099.00"
"278b6e0b20c4f61fefaa0577943d7a35","1","1078.00"
"282c7480173bb9c01dd41cc739fec010","4","1068.55"
"87e24fc7052259b1f7f607d61c10d8be","7","1067.64"
"a4b6b9b992b46e9ef863637af96e04bc","7","1021.00"
"c510bc1718f0f2961eaa42a23330681a","12","1020.92"
"d6b664fa0667064c6d76394e7848d790","6","1013.33"
"28872dc528e978a639754bc8c2ce5a4c","1","1009.90"
"ccb83a794700270fde70898fe9ff368b","11","1005.64"
"cb4a705d00e100b9732d0ca34817d441","1","998.00"
"04308b1ee57b6625f47df1d56f00eedf","61","985.75"
"b3b17aab11f273023a5f22ca52e1eb70","7","978.57"
"a99504ac23ed125aaf5302af6cc30af9","1","978.00"
"8e670472e453ba34a379331513d6aab1","1","975.00"
"a63bfbaa882c8f4542891b4e2246cc7f","7","967.43"
"b19c48688808720822399ffa9f2dbe2f","1","959.99"
"52ac6f920b7280e4c6d30dd94de6259b","6","942.88"
"f25e239052084705e17a982bc600ab2a","8","922.50"
"c72de06d72748d1a0dfb2125be43ba63","19","922.21"
"32e5635e63cb374eb63afdd242fb6134","1","910.00"
"e1c76f339ebd5460999f25a2aa8c92c5","1","899.90"
"7dc9a3355bae96dd82008b313d3a456c","1","899.00"
"a6bd7d1ccdac48c6b33b28596b7eb122","16","898.04"
"0015a82c2db000af6aaaf3ae2ecb0532","3","895.00"
"f2336e113377dd21c744d9c4fc8293a9","4","890.75"
"17f51e7198701186712e53a39c564617","54","889.24"
"f021c962aaba8ef6eb527a9c2c8394d1","5","879.70"
"4bf658053d453036c70976bccb2c31b2","2","871.50"
